query,total_relevantes,baseline_p@5,baseline_avg_pos,baseline_ndcg,baseline_mrr,baseline_found,rlhf_p@5,rlhf_avg_pos,rlhf_ndcg,rlhf_mrr,rlhf_found,mejora_p@5,mejora_posicion,mejora_ndcg,mejora_mrr,mejor_precision,mejor_posicion,mejor_ndcg,mejor_mrr,cambio_top1,cambio_top3
car parts,2,0.4,2.5,0.8772153153380493,1.0,2,0.4,2.5,0.8772153153380493,1.0,2,0.0,0.0,0.0,0.0,False,False,False,False,False,False
led lights for truck,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
door panel courtesy light,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
generator stator,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
carburetor rebuild kit,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
door handle replacement,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
fake nails,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
volumizing conditioner,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
acrylic nail tips,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
brazilian virgin hair,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
curly synthetic wigs,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
christian daily devotional,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
star trek audiobook,1,0.0,6.0,0.0,0.16666666666666666,0,0.0,6.0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
spanish literature,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
horror novel dead sea,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
terrorism thriller,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
bodycon dress,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
karate uniform,1,0.2,3.0,0.5,0.3333333333333333,1,0.2,3.0,0.5,0.3333333333333333,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
glitter trucker hat,1,0.2,3.0,0.5,0.3333333333333333,1,0.2,3.0,0.5,0.3333333333333333,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
stretchy skater skirt,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
nike womens hat,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
car speakers,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
lake fishing maps,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
external hard drive 2tb,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
usb c headphone adapter,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
amd processor,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
gingham tablecloth,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
ice cube tray with lid,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
marvel avengers poster,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
airplane wall hook,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
dyson v8 battery,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
diving mask snorkeling,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
running wristband wallet,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
dallas cowboys jersey,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
camping tent 2 person,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
fishing adhesive,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
childrens playhouse,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
new years party decorations,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
lego ninjago set,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
fisher price little people,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
yugioh cyber dragon card,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
mechanical keyboard gaming,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
car game nintendo ds,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
nintendo switch dock adapter,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
wii console skins,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
racing steering wheel ps4,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
fight games,1,0.2,2.0,0.6309297535714575,0.5,1,0.2,2.0,0.6309297535714575,0.5,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
mario games,1,0.2,4.0,0.43067655807339306,0.25,1,0.2,4.0,0.43067655807339306,0.25,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
zelda games,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
apple,1,0.2,1.0,1.0,1.0,1,0.2,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,False,False,False,False,False,False
